title,genre_name,channel_name
하백의 신부 2017,"로맨스, 드라마",tvN
하이라키,"십대, 로맨스, 복수",넷플릭스
하지 말라면 더 하고 19,"로맨스, 웹드라마","네이버TV, 유튜브, 페이스북"
한 사람만,"로맨스, 멜로, 드라마",JTBC
한여름의 추억,"로맨스, 드라마",JTBC
함부로 애틋하게,"로맨스, 멜로, 휴머니즘",KBS 2TV
해운대 연인들,"로맨스, 드라마",KBS 2TV
해후 (2005년 드라마),"로맨스, 드라마",MBC
허식당,"로맨스, 타임슬립, 판타지, 로맨틱 코미디","Wavve, 넷플릭스"
현재는 아름다워,"로맨스, 드라마",KBS 2TV
현정아 사랑해,"로맨스, 드라마",MBC
화랑 (드라마),"사극, 청춘, 로맨스, 드라마",KBS 2TV
화인가 스캔들,"액션, 로맨스, 드라마",디즈니+
환상연가 (드라마),"로맨스, 사극",KBS 2TV
환혼,"사극, 로맨스, 액션, 판타지",tvN
환혼 빛과 그림자,"사극, 로맨스, 액션, 판타지",tvN
흑기사 (드라마),판타지 로맨스,KBS 2TV
